ontology_curie	biosample_name	biosample_type	biosample_life_stage	gtex_tissue	available_outputs	total_tracks
UBERON:0006469	C1 segment of cervical spinal cord	tissue	adult	Brain_Spinal_cord_cervical_c-1	rna_seq,splice_junctions,splice_site_usage	4
UBERON:0006566	left ventricle myocardium	tissue	adult	Heart_Left_Ventricle	rna_seq,splice_junctions,splice_site_usage	4
UBERON:0006631	right atrium auricular region	tissue	adult		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	16
UBERON:0006659	cruciate ligament of knee	tissue			cage	2
UBERON:0006920	esophagus squamous epithelium	tissue	adult		chip_histone,chip_tf,rna_seq,splice_junctions,splice_site_usage	17
UBERON:0007023	adult organism	primary_cell			cage	2
UBERON:0007106	chorionic villus	tissue	embryonic		chip_histone,rna_seq,splice_junctions,splice_site_usage	6
UBERON:0007190	paracentral gyrus	tissue			cage	2
UBERON:0007610	tibial artery	tissue	adult	Artery_Tibial	atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	13
UBERON:0008198	nail plate	tissue			cage	2
UBERON:0008367	breast epithelium	tissue	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	19
UBERON:0008450	psoas muscle	tissue	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	18
UBERON:0008952	upper lobe of left lung	tissue	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	19
UBERON:0008953	lower lobe of left lung	tissue	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	14
UBERON:0008971	left colon	tissue	adult		atac,dnase,rna_seq,splice_junctions,splice_site_usage	7
UBERON:0009834	dorsolateral prefrontal cortex	tissue	adult		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	17
UBERON:0009835	anterior cingulate cortex	tissue	adult	Brain_Anterior_cingulate_cortex_BA24	rna_seq,splice_junctions,splice_site_usage	4
UBERON:0010414	omental fat pad	tissue	adult		atac,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	12
UBERON:0011907	gastrocnemius medialis	tissue	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	18
UBERON:0012168	umbilical cord blood	primary_cell			cage	2
UBERON:0012249	ectocervix	tissue	adult	Cervix_Ectocervix	rna_seq,splice_junctions,splice_site_usage	4
UBERON:0012488	muscle layer of duodenum	tissue	adult		chip_histone	5
UBERON:0012489	muscle layer of colon	tissue	adult		chip_histone	5
UBERON:0013756	venous blood	tissue	adult	Whole_Blood	rna_seq,splice_junctions,splice_site_usage	4
UBERON:0013777	skin of palm of manus	tissue			cage	2
UBERON:0014455	subcutaneous abdominal adipose tissue	tissue	adult		chip_histone	7
UBERON:0015143	mesenteric fat pad	tissue	adult		atac,dnase,rna_seq,splice_junctions,splice_site_usage	7
UBERON:0018112	rectal smooth muscle tissue	tissue	adult		chip_histone	4
UBERON:0018115	left renal pelvis	tissue	embryonic		dnase,rna_seq,splice_junctions,splice_site_usage	5
UBERON:0018116	right renal pelvis	tissue	embryonic		dnase,rna_seq,splice_junctions,splice_site_usage	5
UBERON:0018117	left renal cortex interstitium	tissue	embryonic		dnase,rna_seq,splice_junctions,splice_site_usage	5
UBERON:0018118	right renal cortex interstitium	tissue	embryonic		dnase,rna_seq,splice_junctions,splice_site_usage	5
UBERON:0036149	suprapubic skin	tissue	adult		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	18
UBERON:1000010	mole	tissue	unknown		rna_seq	2
UBERON:8300001	right forelimb	tissue	embryonic		dnase	1
UBERON:8300002	left forelimb	tissue	embryonic		dnase	1
UBERON:8300003	right hindlimb	tissue	embryonic		dnase	1
UBERON:8300004	left hindlimb	tissue	embryonic		dnase	1
