ontology_curie	biosample_name	biosample_type	biosample_life_stage	gtex_tissue	available_outputs	total_tracks
EFO:0009747	WTC11	cell_line	adult		atac,chip_tf,contact_maps,dnase,rna_seq,splice_junctions,splice_site_usage	44
EFO:0010835	GM19023	cell_line	adult		atac	1
EFO:0010836	GM19025	cell_line	adult		atac	1
EFO:0010837	GM19043	cell_line	adult		atac	1
EFO:0010838	GM21515	cell_line	adult		atac	1
EFO:0010839	GM21737	cell_line	adult		atac	1
EFO:0010840	GM21786	cell_line	adult		atac	1
EFO:0010841	HG02571	cell_line	adult		atac	1
EFO:0010842	HG02588	cell_line	adult		atac	1
EFO:0010843	HG02610	cell_line	adult		atac	1
EFO:0010844	HG02623	cell_line	adult		atac	1
EFO:0010846	HG02678	cell_line	adult		atac	1
EFO:0010847	HG02759	cell_line	adult		atac	1
EFO:0010848	HG02763	cell_line	adult		atac	1
EFO:0010850	HG02840	cell_line	adult		atac	1
EFO:0010851	HG02852	cell_line	adult		atac	1
EFO:0010852	HG02870	cell_line	adult		atac	1
EFO:0010853	HG02884	cell_line	adult		atac	1
EFO:0010855	HG02938	cell_line	adult		atac	1
EFO:0010856	HG02943	cell_line	adult		atac	1
EFO:0010857	HG02970	cell_line	adult		atac	1
EFO:0010858	HG02973	cell_line	adult		atac	1
EFO:0010859	HG02981	cell_line	adult		atac	1
EFO:0010860	HG03025	cell_line	adult		atac	1
EFO:0010861	HG03039	cell_line	adult		atac	1
EFO:0010862	HG03045	cell_line	adult		atac	1
EFO:0010863	HG03060	cell_line	adult		atac	1
EFO:0010864	HG03064	cell_line	adult		atac	1
EFO:0010865	HG03066	cell_line	adult		atac	1
EFO:0010866	HG03095	cell_line	adult		atac	1
EFO:0010867	HG03097	cell_line	adult		atac	1
EFO:0010868	HG03103	cell_line	adult		atac	1
EFO:0010869	HG03108	cell_line	adult		atac	1
EFO:0010870	HG03135	cell_line	adult		atac	1
EFO:0010871	HG03139	cell_line	adult		atac	1
EFO:0010872	HG03159	cell_line	adult		atac	1
EFO:0010873	HG03175	cell_line	adult		atac	1
EFO:0010874	HG03196	cell_line	adult		atac	1
EFO:0010875	HG03280	cell_line	adult		atac	1
EFO:0010876	HG03342	cell_line	adult		atac	1
EFO:0010878	HG03378	cell_line	adult		atac	1
EFO:0010879	HG03432	cell_line	adult		atac	1
EFO:0010880	HG03439	cell_line	adult		atac	1
EFO:0010881	HG03442	cell_line	adult		atac	1
EFO:0010882	HG03457	cell_line	adult		atac	1
EFO:0010883	HG03460	cell_line	adult		atac	1
EFO:0010884	HG03469	cell_line	adult		atac	1
EFO:0010885	HG03520	cell_line	adult		atac	1
EFO:0010886	HG03521	cell_line	adult		atac	1
